Date,Price
2013-01,1.6244
2013-02,1.5692
2013-03,1.5038
2013-04,1.5229
2013-05,1.5555
2013-06,1.5322
2013-07,1.5217
2013-08,1.512
2013-09,1.5545
2013-10,1.6195
2013-11,1.5926
2013-12,1.6357
2014-01,1.6566
2014-02,1.6305
2014-03,1.6667
2014-04,1.6629
2014-05,1.6893
2014-06,1.6746
2014-07,1.715
2014-08,1.682
2014-09,1.6608
2014-10,1.6186
2014-11,1.5972
2014-12,1.573
2015-01,1.5545
2015-02,1.504
2015-03,1.5364
2015-04,1.4823
2015-05,1.5141
2015-06,1.5201
2015-07,1.5618
2015-08,1.5587
2015-09,1.5303
2015-10,1.5129
2015-11,1.5417
2015-12,1.5081
2016-01,1.4748
2016-02,1.4433
2016-03,1.3948
2016-04,1.4226
2016-05,1.4673
2016-06,1.4416
2016-07,1.3262
2016-08,1.3178
2016-09,1.3268
2016-10,1.2843
2016-11,1.2243
2016-12,1.2593
2017-01,1.2275
2017-02,1.2658
2017-03,1.2295
2017-04,1.2487
2017-05,1.2886
2017-06,1.2881
2017-07,1.2937
2017-08,1.3203
2017-09,1.2951
2017-10,1.3277
2017-11,1.3246
2017-12,1.3473
2018-01,1.3503
2018-02,1.4265
2018-03,1.3776
2018-04,1.4045
2018-05,1.3614
2018-06,1.3348
2018-07,1.3143
2018-08,1.3126
2018-09,1.2872
2018-10,1.3043
2018-11,1.3009
2018-12,1.2722
2019-01,1.2751
2019-02,1.3083
2019-03,1.3202
2019-04,1.3099
2019-05,1.3049
2019-06,1.2663
2019-07,1.2638
2019-08,1.2131
2019-09,1.2066
2019-10,1.2301
2019-11,1.2934
2019-12,1.2936
2020-01,1.3254
2020-02,1.2993
2020-03,1.275
2020-04,1.2376
2020-05,1.2502
2020-06,1.2492
2020-07,1.247
2020-08,1.3072
2020-09,1.3381
2020-10,1.2889
2020-11,1.2912
2020-12,1.3415
2021-01,1.3671
2021-02,1.3661
2021-03,1.3922
2021-04,1.383
2021-05,1.3909
2021-06,1.4146
2021-07,1.3767
2021-08,1.3881
2021-09,1.3768
2021-10,1.3545
2021-11,1.3672
2021-12,1.3277
2022-01,1.3471
2022-02,1.352
2022-03,1.3321
2022-04,1.3112
2022-05,1.2491
2022-06,1.2482
2022-07,1.2094
2022-08,1.2248
2022-09,1.1542
2022-10,1.1136
